repetition,tolerance,buffer_capacity_1,buffer_capacity_2,lambda_1_1,lambda_1_2,lambda_2,mu_1,mu_2,num_of_servers_1,num_of_servers_2,system_capacity_1,system_capacity_2,threshold_1,threshold_2,time_taken
181,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.9502482414245605
182,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.9414021968841553
183,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.9226372241973877
184,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8978753089904785
185,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.9025378227233887
186,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.9058632850646973
187,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.887861967086792
188,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.902315616607666
189,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.9068634510040283
190,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8978281021118164
191,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.907021999359131
192,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.9161999225616455
193,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,3.364692211151123
194,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.9256343841552734
195,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.916748285293579
196,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.924933433532715
197,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,3.6686458587646484
198,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.9093661308288574
199,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.9376590251922607
0,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,3.243532180786133
1,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8899455070495605
2,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.900597095489502
3,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.901815176010132
4,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8856046199798584
5,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.9248552322387695
6,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,4.501699924468994
7,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.9106380939483643
8,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.907093048095703
9,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.846426486968994
10,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8459012508392334
11,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.851785659790039
12,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8464725017547607
13,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8443877696990967
14,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8383193016052246
15,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.846191167831421
16,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,3.0589208602905273
17,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8401119709014893
18,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8469078540802
19,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8406777381896973
20,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.843822956085205
21,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.85030198097229
22,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8550868034362793
23,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8486850261688232
24,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8487024307250977
25,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8248860836029053
26,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,4.794427394866943
27,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.851508140563965
28,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.844987630844116
29,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.873727321624756
30,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8559181690216064
31,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,4.1499342918396
32,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8683364391326904
33,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.881481170654297
34,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.857639789581299
35,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8609204292297363
36,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.848544120788574
37,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8629374504089355
38,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,4.4409754276275635
39,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.85090708732605
40,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.846600294113159
41,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8392446041107178
42,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8490729331970215
43,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8509624004364014
44,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,3.643024206161499
45,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,3.6264142990112305
46,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.844877243041992
47,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,3.203378200531006
48,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.888669013977051
49,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8541269302368164
50,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8600988388061523
51,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8626763820648193
52,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.851392984390259
53,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8453567028045654
54,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.881134510040283
55,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,4.583036184310913
56,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8394672870635986
57,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.864158868789673
58,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,3.6733381748199463
59,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.843255043029785
60,1e-09,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8340916633605957
