repetition,tolerance,buffer_capacity_1,buffer_capacity_2,lambda_1_1,lambda_1_2,lambda_2,mu_1,mu_2,num_of_servers_1,num_of_servers_2,system_capacity_1,system_capacity_2,threshold_1,threshold_2,time_taken
159,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.95879864692688
160,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.958011150360107
161,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.95438814163208
162,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.938939809799194
163,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.9477150440216064
164,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.966520071029663
165,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.959582567214966
166,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.951068878173828
167,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.954186916351318
168,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.941091775894165
169,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.9641313552856445
170,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.952203273773193
171,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.94866681098938
172,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.94837760925293
173,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.958628177642822
174,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.955937623977661
175,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.944454908370972
176,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.963331699371338
177,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.955728769302368
178,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.971061944961548
179,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.963753938674927
180,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.9412407875061035
181,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.949164390563965
182,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.945981025695801
183,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.953603982925415
184,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.951685905456543
185,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.957589387893677
186,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.945370435714722
187,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.935157060623169
188,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.953712701797485
189,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.947893381118774
190,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.949984550476074
191,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.942971229553223
192,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.945616006851196
193,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.9390668869018555
194,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.958559513092041
195,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.954732179641724
196,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.945380210876465
197,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.959607124328613
198,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.9380950927734375
199,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.983899354934692
0,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,7.475351095199585
1,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.966474294662476
2,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.93847131729126
3,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.945950031280518
4,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.94797420501709
5,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.950318336486816
6,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.9592671394348145
7,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.9518210887908936
8,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.93433141708374
9,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.937906503677368
10,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.944391250610352
11,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.947067737579346
12,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.9487574100494385
13,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.943270206451416
14,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.940145969390869
15,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.962061882019043
16,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.965731859207153
17,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.9744553565979
18,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.973222255706787
19,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.936733245849609
20,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.9502854347229
21,1e-09,10,10,2,2,5,3,2,3,4,7,15,7,10,6.96053409576416
